text,label,source
i feel like something bad is going to happen,Anxiety,Synthetic
Panic and fear are constant,Anxiety,Synthetic
i'm happy with how things are going,Normal,Synthetic
life is treating me well,Normal,Synthetic
feeling good about myself,Normal,Synthetic
Everything feels urgent and overwhelming,Stress,Synthetic
Fear grips me constantly,Anxiety,Synthetic
i'm exhausted from overwork,Stress,Synthetic
I don't see the point in anything,Depression,Synthetic
I'm terrified of the unknown,Anxiety,Synthetic
I can't keep up with everything,Stress,Synthetic
I feel at ease with everything,Normal,Synthetic
Deadline pressure is getting to me,Stress,Synthetic
I feel empty and numb inside,Depression,Synthetic
My anxiety is out of control,Anxiety,Synthetic
stress is affecting my sleep,Stress,Synthetic
Panic sets in without warning,Anxiety,Synthetic
i feel at ease with everything,Normal,Synthetic
things are going smoothly,Normal,Synthetic
Too many deadlines to handle,Stress,Synthetic
panic sets in without warning,Anxiety,Synthetic
fear is controlling my life,Anxiety,Synthetic
My mind won't stop racing,Anxiety,Synthetic
can't seem to catch a break,Stress,Synthetic
Everything feels just right,Normal,Synthetic
i'm worried sick about everything,Anxiety,Synthetic
i'm losing the will to continue,Depression,Synthetic
i feel balanced and at peace,Normal,Synthetic
i'm enjoying every moment,Normal,Synthetic
i wake up with dread every morning,Anxiety,Synthetic
my mental health is good,Normal,Synthetic
i feel content and peaceful,Normal,Synthetic
Constant fear and nervousness,Anxiety,Synthetic
feeling pressured from all directions,Stress,Synthetic
I'm invisible to everyone,Depression,Synthetic
Happy and healthy today,Normal,Synthetic
Overthinking is ruining my life,Anxiety,Synthetic
I feel dead inside,Depression,Synthetic
Heart palpitations from anxiety,Anxiety,Synthetic
I'm overwhelmed with responsibilities,Stress,Synthetic
had a great day at work today,Normal,Synthetic
i'm scared to leave my house,Anxiety,Synthetic
i feel dead inside,Depression,Synthetic
everything is hopeless,Depression,Synthetic
Feeling joyful and optimistic,Normal,Synthetic
everything is going well in my life,Normal,Synthetic
I feel like a burden to everyone,Depression,Synthetic
What if everything goes wrong,Anxiety,Synthetic
Worry consumes my every thought,Anxiety,Synthetic
overthinking is ruining my life,Anxiety,Synthetic
i'm in a great headspace,Normal,Synthetic
So much pressure from all sides,Stress,Synthetic
i'm consumed by sadness,Depression,Synthetic
i'm satisfied with my progress,Normal,Synthetic
i love spending time with my family,Normal,Synthetic
i'm paranoid about everything,Anxiety,Synthetic
I feel completely alone,Depression,Synthetic
I'm doing really well lately,Normal,Synthetic
I'm happy with how things are going,Normal,Synthetic
The pressure is mounting,Stress,Synthetic
Fear is controlling my life,Anxiety,Synthetic
Too many expectations to meet,Stress,Synthetic
endless sadness and pain,Depression,Synthetic
Life has lost all meaning,Depression,Synthetic
So much to do so little time,Stress,Synthetic
i'm just going through the motions,Depression,Synthetic
Anxiety is overwhelming me,Anxiety,Synthetic
I lost interest in everything,Depression,Synthetic
I'm nervous about everything,Anxiety,Synthetic
I feel like I'm drowning in tasks,Stress,Synthetic
i'm stressed about exams,Stress,Synthetic
i'm running on empty,Stress,Synthetic
Deep sadness that won't go away,Depression,Synthetic
Deadline after deadline is exhausting,Stress,Synthetic
Everything is hopeless,Depression,Synthetic
my relationships are healthy and supportive,Normal,Synthetic
No motivation to do anything,Depression,Synthetic
what if everything goes wrong,Anxiety,Synthetic
I'm stressed about the future,Stress,Synthetic
Can't stop the anxious thoughts,Anxiety,Synthetic
feeling burnt out from work,Stress,Synthetic
i'm stressed about money,Stress,Synthetic
feeling happy and fulfilled,Normal,Synthetic
I can't relax because of work,Stress,Synthetic
Had a great day at work today,Normal,Synthetic
I'm consumed by worry,Anxiety,Synthetic
My relationships are healthy and supportive,Normal,Synthetic
Enjoying my hobbies and free time,Normal,Synthetic
I'm tired of existing,Depression,Synthetic
I'm consumed by sadness,Depression,Synthetic
I'm in a great headspace,Normal,Synthetic
